"","Name","Locale","Remarks","Date","Country","Year"
"21","William J. Clinton","Sydney, Canberra, Port Douglas","State Visit. Addressed joint meeting of Parliament and visited the Great Barrier Reef.","November 19–23, 1996","Australia","1996"
"22","George W. Bush","Canberra","Met with Prime Minister Howard and addressed Parliament.","October 22, 2003","Australia","2003"
"23","George W. Bush","Sydney","Attended APEC Leaders’ Meeting.","September 3–8, 2007","Australia","2007"
"24","Barack Obama","Canberra, Darwin","Met with Prime Minister Gillard. Announced a new military cooperation agreement.","November 16–17, 2011","Australia","2011"
"25","Barack Obama","Brisbane","Attended a G-20 Summit Meeting.","November 15–16, 2014","Australia","2014"
"26","John F. Kennedy","Vienna","Met with President Sehaerf and held talks with Soviet Premier Khrushchev.","June 3–4, 1961","Austria","1961"
"27","Richard M. Nixon","Salzburg","Informal visit; met with Chancellor Kreisky.","May 20–22, 1972","Austria","1972"
"28","Richard M. Nixon","Salzburg","Met with Chancellor Kreisky.","June 10–12, 1974","Austria","1974"
"29","Gerald R. Ford","Salzburg","Met with Chancellor Kreisky and with Egyptian President Sadat.","June 1–3, 1975","Austria","1975"
"30","James E. Carter","Vienna","State visit; met with President Kirchschlaeger and Chancellor Kreisky. Met with Soviet General Secretary Brezhnev to sign SALT II Treaty June 16-18.","June 14–18, 1979","Austria","1979"
"31","George W. Bush","Vienna","Attended the U.S.-EU Summit.","June 20–21, 2006","Austria","2006"
"32","George W. Bush","Manama","Met with King Hamad bin Isa al –Khalifa. Addressed U.S. military personnel.","January 12–13, 2008","Bahrain","2008"
"33","William J. Clinton","Dhaka","Met with President Ahmad and Prime Minister Hasina.","March 20, 2000","Bangladesh","2000"
"34","Ronald Reagan","Bridgetown","Official visit; met April 8 with the Prime Ministers of Barbados, Antigua and Barbuda, Dominica, St. Christopher and Nevis, and St. Vincent and the Grenadines.","April 8–11, 1982","Barbados","1982"
"35","William J. Clinton","Bridgetown","Attended a U.S.-Caribbean Community summit meeting.","May 9–11, 1997","Barbados","1997"
"36","William J. Clinton","Minsk","Met with Chairman Shushkevich.","January 15, 1994","Belarus","1994"
"37","Woodrow Wilson","Brussels, Charleroi, Malines, Louvain","Met with King Albert, addressed Parliament.","June 18–19, 1919","Belgium","1919"
"38","Harry S Truman","Antwerp, Brussels","Disembarked en route to Potsdam.","July 15, 1945","Belgium","1945"
"39","Richard M. Nixon","Brussels","Attended 23d meeting of North Atlantic Council; met with King Baudouin I.","February 23–24, 1969","Belgium","1969"
"40","Richard M. Nixon","Brussels","Attended North Atlantic Council meeting, and met separately with King Baudonin and Queen Fabiola, Prime Minister Tindemans; and with German Chancellor Schmidt, British Prime Minister Wilson, and Italian Prime Minister Rumor.","June 25–26, 1974","Belgium","1974"
"41","Gerald R. Ford","Brussels","Attended NATO summit meeting, addressed the North Atlantic Council, and met separately with NATO Heads of State and Government.","May 28–31, 1975","Belgium","1975"
"42","James E. Carter","Brussels","Met with King Baudouin and Prime Minister Tindemans; attended meetings of the Commission of the European Communities and the North Atlantic Council.","January 6, 1978","Belgium","1978"
"43","Ronald Reagan","Brussels","Briefed North Atlantic Council on Soviet summit Present were the Heads of State and Government of Belgium, Canada, Denmark, Federal Republic of Germany, Italy, the Netherlands, Norway, Luxembourg, Portugal, Turkey, and the United Kingdom.","November 21, 1985","Belgium","1985"
"44","Ronald Reagan","Brussels","Attended NATO Summit Meeting. Present were the Heads of State and Government of Canada, Denmark, France, Federal Republic of Germany, Greece, Iceland, Italy, Luxembourg, Norway, Portugal, Spain, Turkey, and the United Kingdom.","March 1–3, 1988","Belgium","1988"
"45","George Herbert Walker Bush","Brussels","Attended NATO Summit Meeting. Present were the Heads of State and Government of Canada, Denmark, France, Federal Republic of Germany, Greece, Iceland, Italy, Luxembourg, Norway, Portugal, Spain, Turkey, and the United Kingdom.","May 28–30, 1989","Belgium","1989"
"46","George Herbert Walker Bush","Brussels","Briefed NATO Heads of State and Government on the U.S.-Soviet Summit Meeting.","December 3–4, 1989","Belgium","1989"
"47","William J. Clinton","Brussels","Attended NATO Summit Meeting.","January 9–11, 1994","Belgium","1994"
"48","William J. Clinton","Brussels","Discussed the Kosovo conflict with NATO officials.","May 4, 1999","Belgium","1999"
"49","George W. Bush","Brussels","Attended NATO Summit Meeting.","June 13–14, 2001","Belgium","2001"
"50","George W. Bush","Brussels","Attended NATO and EU Summit Meetings.","February 20–23, 2005","Belgium","2005"
"51","Barack Obama","Waregem, Brussels","Attended a wreath-laying ceremony at the Flanders Field American Cemetery. Attended a meeting of the Council of the European Union.","March 25–26, 2014","Belgium","2014"
"52","Barack Obama","Brussels","Met with King Philippe and Prime Minister Elio Di Rupo. Attended meetings of the G-7 leaders.","June 4–5, 2014","Belgium","2014"
"53","Donald J. Trump","Brussels","Attended a NATO Summit Meeting.","May 24–25, 2017","Belgium","2017"
"54","Donald J. Trump","Brussels","Attended NATO Summit Meeting.","July 10–12, 2018","Belgium","2018"
"55","George W. Bush","Porto Novo","Met with President Boni.","February 16, 2008","Benin","2008"
"56","William J. Clinton","Tuzla","Met with President Izetbegovic and addressed U.S. military personnel.","January 13, 1996","bosnia-herzegovina","1996"
"57","William J. Clinton","Sarajevo, Tuzla","Met with the Bosnian Collective Presidency and with Bosnian Serb President Plavsic; visited U.S. military personnel.","December 22, 1997","bosnia-herzegovina","1997"
"58","William J. Clinton","Sarajevo","Attended Stability Pact Leaders Conference.","July 30, 1999","bosnia-herzegovina","1999"
"59","William J. Clinton","Gaborone, Kasame","Met with President Masire; visited Chobe National Park.","March 29–31, 1998","Botswana","1998"
"60","George W. Bush","Gaborone","Met with President Mogae. Toured Mokoldi Nature Reserve.","July 10, 2003","Botswana","2003"
"61","Herbert C. Hoover","Rio de Janeiro","Good will trip. [Visit made as President-elect.]","December 21–23, 1928","Brazil","1928"
"62","Franklin Delano Roosevelt","Rio de Janeiro","Addressed Brazilian Congress.","November 27, 1936","Brazil","1936"
"63","Franklin Delano Roosevelt","Belem","Overnight stop en route to Casablanca.","January 12, 1943","Brazil","1943"
"64","Franklin Delano Roosevelt","Natal","Informal visit; met with President Vargas.","January 28, 1943","Brazil","1943"
"65","Harry S Truman","Rio de Janeiro","State visit; addressed Rio de Janiero Conference for the Maintenance of Continental Peace and Security and the Brazilian Congress.","September 1–7, 1947","Brazil","1947"
"66","Dwight D. Eisenhower","Brasilia, Rio de Janeiro, Sao Paulo","Met with President Kubitschek and addressed Brazilian Congress.","February 23–26, 1960","Brazil","1960"
"67","James E. Carter","Brasilia, Rio de Janeiro","Official visit; met with President Geisel and addressed Brazilian Congress.","March 29–31, 1978","Brazil","1978"
"68","Ronald Reagan","Brasilia, Sao Paulo","Official working visit; met with President Figueiredo.","November 30–December 3, 1982","Brazil","1982"
"69","George Herbert Walker Bush","Brasilia","Met with President Collor de Mello and addressed a Joint Session of the Brazilian Congress.","December 3–4, 1990","Brazil","1990"
"70","George Herbert Walker Bush","Rio de Janeiro","Attended the Earth Summit Meeting.","June 12–13, 1992","Brazil","1992"
"71","William J. Clinton","Brasilia, Sao Paulo, Rio de Janeiro","Met with President Cardosa; delivered several public addresses.","October 13–15, 1997","Brazil","1997"
"72","George W. Bush","Brasilia","Met with President Lula da Silva.","November 5–6, 2005","Brazil","2005"
"73","George W. Bush","Sao Paulo","Met with President Lula da Silva.","March 8–9, 2007","Brazil","2007"
"74","Barack Obama","Brasilia, Rio de Janeiro","Met with President Roussef.","March 19–21, 2011","Brazil","2011"
"75","William J. Clinton","Bandar Seri Begawan","Attended APEC Leaders' Meeting.","November 14–16, 2000","Brunei","2000"
"76","William J. Clinton","Sofia","Met with President Stoyanov and Prime Minister Kostov.","November 21–23, 1999","Bulgaria","1999"
"77","George W. Bush","Sofia","Met with President Parvanov and Prime Minister Stanishev.","June 10–11, 2007","Bulgaria","2007"
"78","Barack Obama","Rangoon","Met with President Thein Sein, National League for Democracy leader Aung San Suu Kyi, and representatives of Burmese civil society.","November 19, 2012","Burma","2012"
"79","Barack Obama","Nay Pyi Taw, Rangoon","Attended a United States-Association of Southeast Asian Naations Summit Meeting.","November 12–14, 2014","Burma","2014"
"80","Barack Obama","Phnom Penh","Met with Prime Minister Hun Sen and a U.S.-ASEAN Leaders’ meeting, a Trans-Pacific Partnership meeting, and the East Asia Summit meeting.","November 19, 2012","Cambodia","2012"
"81","Warren G. Harding","Vancouver","Official reception during return from Alaska.","July 26, 1923","Canada","1923"
"82","Franklin Delano Roosevelt","Campobello Island","Vacation.","June 29–July 1, 1933","Canada","1933"
"83","Franklin Delano Roosevelt","Campobello Island","Vacation.","July 28–30, 1936","Canada","1936"
"84","Franklin Delano Roosevelt","Quebec","Official visit; met with Governor General Lord Tweedsmuir.","July 31, 1936","Canada","1936"
"85","Franklin Delano Roosevelt","Victoria","Met with the Lieutenant Governor of British Columbia Eric W. Hamber.","September 30, 1937","Canada","1937"
"86","Franklin Delano Roosevelt","Kingston","Received honorary degree from Queens University and dedicated Thousand Islands Bridge.","August 18, 1938","Canada","1938"
"87","Franklin Delano Roosevelt","Campobello Island (Nova Scotia), Sydney (Nova Scotia)","Fishing trip.","August 14–16, 1939","Canada","1939"
"88","Franklin Delano Roosevelt","Halifax","Stopped while returning to the United States.","August 21–23, 1939","Canada","1939"
"89","Franklin Delano Roosevelt","Quebec, Ottawa","Attended First Quebec Conference with British Prime Minister Churchill.","August 17–25, 1943","Canada","1943"
"90","Franklin Delano Roosevelt","Quebec","Attended Second Quebec Conference with British Prime Minister Churchill.","September 11–16, 1944","Canada","1944"
"91","Harry S Truman","Ottawa","Official visit; met with Governor General Alexander and Prime Minister Mackenzie King.","June 10–12, 1947","Canada","1947"
"92","Dwight D. Eisenhower","Ottawa","State visit; addressed joint session of Parliament.","November 13–15, 1953","Canada","1953"
"93","Dwight D. Eisenhower","Ottawa","Informal visit; addressed joint session of Parliament.","July 8–11, 1958","Canada","1958"
"94","Dwight D. Eisenhower","Montreal","Joined Queen Elizabeth II in ceremony opening St. Lawrence Seaway.","June 26, 1959","Canada","1959"
"95","John F. Kennedy","Ottawa","State visit; addressed joint session of Parliament.","May 16–18, 1961","Canada","1961"
"96","Lyndon B. Johnson","Vancouver","Informal visit; met with Prime Minister Pearson in ceremonies related to the Columbia River Treaty.","September 16, 1964","Canada","1964"
"97","Lyndon B. Johnson","Campobello Island, Chamcook","Laid cornerstone at Roosevelt-Campobello International Park and conferred informally with Prime Minister Pearson.","August 21–22, 1966","Canada","1966"
"98","Lyndon B. Johnson","Montreal, Ottawa","Attended Expo 67 and conferred informally with Prime Minister Pearson.","May 25, 1967","Canada","1967"
"99","Richard M. Nixon","Ottawa","State visit; met with Governor General Michener and Prime Minister Trudeau; addressed Parliament.","April 13–15, 1972","Canada","1972"
"100","Ronald Reagan","Ottawa","State visit; met with Prime Minister Trudeau and addressed Parliament.","March 10–11, 1981","Canada","1981"
"101","Ronald Reagan","Ottawa","Attended Economic Summit Conference of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","July 19–21, 1981","Canada","1981"
"102","Ronald Reagan","Quebec","Met with Prime Minister Mulroney.","March 17–18, 1985","Canada","1985"
"103","Ronald Reagan","Ottawa","Official visit; met with Prime Minister Mulroney. Addressed Parliament April 6.","April 4–6, 1987","Canada","1987"
"104","Ronald Reagan","Toronto","Attended Economic Summit Meeting of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","June 19–21, 1988","Canada","1988"
"105","George Herbert Walker Bush","Ottawa","Working visit; met with Prime Minister Mulroney.","February 10, 1989","Canada","1989"
"106","George Herbert Walker Bush","Toronto","Informal meeting with Prime Minister Mulroney.","April 10, 1990","Canada","1990"
"107","George Herbert Walker Bush","Ottawa","Met with Prime Minister Mulroney and signed an Air Quality Agreement.","March 13–14, 1991","Canada","1991"
"108","George Herbert Walker Bush","Toronto","Informal meeting with Prime Minister Mulroney.","July 9, 1991","Canada","1991"
"109","William J. Clinton","Vancouver","Summit meeting with Russian President Yeltsin; also met with Prime Minister Mulroney.","April 3–4, 1993","Canada","1993"
"110","William J. Clinton","Ottawa","State visit.","February 23–24, 1995","Canada","1995"
"111","William J. Clinton","Halifax (Nova Scotia)","Attended Economic Summit Meeting with the Heads of State and Government of Canada, France, Germany, Italy, Japan, and the United Kingdom. Also met with Russian President Yeltsin.","June 15–17, 1995","Canada","1995"
"112","William J. Clinton","Vancouver","Attended APEC Economic Summit meeting.","November 23–25, 1997","Canada","1997"
"113","William J. Clinton","Ottawa, Mont Tremblant","Working visit. Met with Prime Minister Chretien and Quebec Premier Bouchard, attended Federalism Conference at Mont Tremblant, and dedicated new Embassy building.","October 7–8, 1999","Canada","1999"
"114","George W. Bush","Quebec","Attended the Summit of the Americas.","April 20–22, 2001","Canada","2001"
"115","George W. Bush","Kananaskis (Alberta)","Attended the G-8 Economic Summit.","June 25–27, 2002","Canada","2002"
"116","George W. Bush","Ottawa, Gatineau, Halifax","Met with Prime Minister Martin.","November 30–December 1, 2004","Canada","2004"
"117","George W. Bush","Montebello, Quebec","Attended North American Leaders’ Summit with Mexican President Calderon and Canadian Prime Minister Harper.","August 20–21, 2007","Canada","2007"
"118","Barack Obama","Ottawa","Met with Prime Minister Harper.","February 19, 2009","Canada","2009"
"119","Barack Obama","Muskoka, Toronto","Attended the G-8 and G-20 Economic Summit Meetings.","June 25–27, 2010","Canada","2010"
"120","Barack Obama","Ottawa","Attended the North American Leaders Summit.","June 29, 2016","Canada","2016"
"121","Donald J. Trump","Charlevoix","Attended the G–7 meetings.","June 9, 2018","Canada","2018"
"122","Herbert C. Hoover","Antofagasta, Santiago","Good will trip. [Visit made as President-elect.]","December 8–11, 1928","Chile","1928"
"123","Dwight D. Eisenhower","Santiago","Met with President Alessandri.","February 29–March 2, 1960","Chile","1960"
"124","George Herbert Walker Bush","Santiago","Met with President Aylwin and addressed a Joint Session of the Chilean Congress.","December 6–7, 1990","Chile","1990"
"125","William J. Clinton","Santiago","State visit; attended the Second Summit of the Americas.","April 16–19, 1998","Chile","1998"
"126","George W. Bush","Santiago","Attended APEC Summit Meeting.","November 19–22, 2004","Chile","2004"
"127","Barack Obama","Santiago","Met with President Pinera.","March 21–22, 2011","Chile","2011"
"128","Richard M. Nixon","Shanghai, Peking, Hangchow","State visit; met with Chairman Mao Tse-tung and Premier Chou En-lai.","February 21–28, 1972","China","1972"
"129","Gerald R. Ford","Peking","Official visit; met with Chairman Mao Tse-tung and Vice Premier Teng Hsiao-ping.","December 1–5, 1975","China","1975"
"130","Ronald Reagan","Beijing, Xian, Shanghai","State visit; met with President Li and Premier Zhao.","April 26–May 1, 1984","China","1984"
"131","George Herbert Walker Bush","Beijing","Met with President Yang and Prime Minister Li. Also met with Prince Sihanouk of Cambodia.","February 25–27, 1989","China","1989"
"132","William J. Clinton","Xian, Beijing, Shanghai, Guilin, Hong Kong","State visit.","June 24–July 3, 1998","China","1998"
"133","George W. Bush","Shanghai","Attended the APEC Summit Meeting.","October 18–21, 2001","China","2001"
"134","George W. Bush","Beijing","Met with President Jiang and Premier Zhu.","February 21–22, 2002","China","2002"
"135","George W. Bush","Beijing","Met with President Hu and Prime Minister Wen.","November 20–21, 2005","China","2005"
"136","George W. Bush","Beijing","Attended opening ceremonies of the Olympic Games. Dedicated a new U.S. Embassy. Met with President Hu and Russian Prime Minister Putin.","August 7–11, 2008","China","2008"
"137","Barack Obama","Shanghai, Beijing","Met with President Hu, National People’s Congress Chairman Wu, and Premier Wen. Visited the Great Wall.","November 15–18, 2009","China","2009"
"138","Barack Obama","Beijing","Attended the Asia Pacific Economic Cooperation CEO Summit Meeting and the Trans Pacific Partnership Leaders Meeting.","November 10–12, 2014","China","2014"
"139","Barack Obama","Hangzhou","Attended the G-20 Summit Meeting.","September 3–5, 2016","China","2016"
"140","Donald J. Trump","Beijing","Met with President Xi Jinping. State Dinner.","November 8–10, 2017","China","2017"
"141","Richard M. Nixon","Shanghai, Peking, Hangchow","State visit; met with Chairman Mao Tse-tung and Premier Chou En-lai.","February 21–28, 1972","China","1972"
"142","Gerald R. Ford","Peking","Official visit; met with Chairman Mao Tse-tung and Vice Premier Teng Hsiao-ping.","December 1–5, 1975","China","1975"
"143","Ronald Reagan","Beijing, Xian, Shanghai","State visit; met with President Li and Premier Zhao.","April 26–May 1, 1984","China","1984"
"144","George Herbert Walker Bush","Beijing","Met with President Yang and Prime Minister Li. Also met with Prince Sihanouk of Cambodia.","February 25–27, 1989","China","1989"
"145","William J. Clinton","Xian, Beijing, Shanghai, Guilin, Hong Kong","State visit.","June 24–July 3, 1998","China","1998"
"146","George W. Bush","Shanghai","Attended the APEC Summit Meeting.","October 18–21, 2001","China","2001"
"147","George W. Bush","Beijing","Met with President Jiang and Premier Zhu.","February 21–22, 2002","China","2002"
"148","George W. Bush","Beijing","Met with President Hu and Prime Minister Wen.","November 20–21, 2005","China","2005"
"149","George W. Bush","Beijing","Attended opening ceremonies of the Olympic Games. Dedicated a new U.S. Embassy. Met with President Hu and Russian Prime Minister Putin.","August 7–11, 2008","China","2008"
"150","Barack Obama","Shanghai, Beijing","Met with President Hu, National People’s Congress Chairman Wu, and Premier Wen. Visited the Great Wall.","November 15–18, 2009","China","2009"
"151","Barack Obama","Beijing","Attended the Asia Pacific Economic Cooperation CEO Summit Meeting and the Trans Pacific Partnership Leaders Meeting.","November 10–12, 2014","China","2014"
"152","Barack Obama","Hangzhou","Attended the G-20 Summit Meeting.","September 3–5, 2016","China","2016"
"153","Donald J. Trump","Beijing","Met with President Xi Jinping. State Dinner.","November 8–10, 2017","China","2017"
"154","Franklin Delano Roosevelt","Cartagena","Informal visit en route to vacation in Hawaii.","July 10, 1934","Colombia","1934"
"155","John F. Kennedy","Bogota","Met with President Lleras Camargo.","December 17, 1961","Colombia","1961"
"156","Ronald Reagan","Bogota","Official working visit; met with President Betancur.","December 3, 1982","Colombia","1982"
"157","George Herbert Walker Bush","Cartagena","Attended Summit Meeting on the control of illicit drug trafficking, with the Presidents of Colombia, Bolivia, and Peru.","February 15, 1990","Colombia","1990"
"158","William J. Clinton","Cartagena","Met with President Pastrana.","August 30, 2000","Colombia","2000"
"159","George W. Bush","Cartagena","Met with President Uribe.","November 22, 2004","Colombia","2004"
"160","George W. Bush","Bogota","Met with President Uribe.","March 11, 2007","Colombia","2007"
"161","Barack Obama","Cartagena","Attended the Summit of the Americas.","April 13–15, 2012","Colombia","2012"
"162","Herbert C. Hoover","San Jose","Good will trip. [Visit made as President-elect.]","November 28, 1928","Costa Rica","1928"
"163","John F. Kennedy","San Jose","Attended Conference of Presidents of the Central American Republics.","March 18–20, 1963","Costa Rica","1963"
"164","Lyndon B. Johnson","San Jose","Informal visit; met with President Trejos.","July 8, 1968","Costa Rica","1968"
"165","Ronald Reagan","San Jose","Official working visit; met with President Monge and President Magana of El Salvador.","December 3–4, 1982","Costa Rica","1982"
"166","George Herbert Walker Bush","San Jose","Attended Hemispheric Summit Meeting.","October 27–28, 1989","Costa Rica","1989"
"167","William J. Clinton","San Jose","Attended a Summit Meeting of Presidents of the Central American Republics.","May 7–9, 1997","Costa Rica","1997"
"168","Barack Obama","San Jose","Met with President Laura Chinchilla and leaders of the Central American Integration System.","May 3–4, 2013","Costa Rica","2013"
"169","William J. Clinton","Zagreb","Met with President Tudjman.","January 13, 1996","Croatia","1996"
"170","George W. Bush","Zagreb","Met with President Mesic.","April 4–5, 2008","Croatia","2008"
"171","Calvin Coolidge","Havana","Addressed the Sixth International Conference of American States.","January 15–17, 1928","Cuba","1928"
"172","Barack Obama","Havana","Met with President Raul Castro.","March 20–22, 2016","Cuba","2016"
"173","William J. Clinton","Prague","Met with the Presidents and Prime Ministers of the Czech Republic, Hungary, Poland, and Slovakia.","January 11–12, 1994","Czech Republic","1994"
"174","George W. Bush","Prague","Attended NATO and EAPC Summit Meetings.","November 19–22, 2002","Czech Republic","2002"
"175","George W. Bush","Prague","Met with President Klaus and Prime Minister Topolanek. Addressed Conference on Democracy and Security.","June 4–5, 2007","Czech Republic","2007"
"176","Barack Obama","Prague","Attended U.S.-European Union Summit meeting.","April 4–5, 2009","Czech Republic","2009"
"177","Barack Obama","Prague","Signed Strategic Arms Reduction Treaty with Russia. Also met with the Presidents of the Czech Republic, Estonia, Latvia, and Romania; and with the Prime Ministers of Bulgaria, Croatia, the Czech Republic, Hungary, Lithuania, Poland, Slovakia, and Slovenia.","April 8–9, 2010","Czech Republic","2010"
"178","George Herbert Walker Bush","Prague","Attended ceremonies commemorating the first anniversary of the ""Velvet Revolution."" Addressed the Federal Assembly.","November 17, 1990","czechoslovakia","1990"
"179","William J. Clinton","Copenhagen","Met with Queen Margrethe II and Prime Minister Rasmussen.","July 11–12, 1997","Denmark","1997"
"180","George W. Bush","Kastrup, Fredensborg, Copenhagen","Met with Queen Margrethe II and Prime Minister Rasmussen.","July 5–6, 2005","Denmark","2005"
"181","Barack Obama","Copenhagen","Addressed a session of the International Olympic Committee and met with Prime Minister Rasmussen.","October 2, 2009","Denmark","2009"
"182","Barack Obama","Copenhagen","Attended the UN Climate Change Conference.","December 18, 2009","Denmark","2009"
"183","Herbert C. Hoover","Guayaquil","Good will trip. [Visit made as President-elect.]","December 1, 1928","Ecuador","1928"
"184","Franklin Delano Roosevelt","Cairo","Attended First Cairo Conference with British Prime Minister Churchill and Chinese Generalissimo Chiang Kai-shek.","November 22–26, 1943","Egypt","1943"
"185","Franklin Delano Roosevelt","Cairo","Attended Second Cairo Conference with British Prime Minister Churchill and Turkish President Inonu.","December 2–7, 1943","Egypt","1943"
"186","Franklin Delano Roosevelt","Great Bitter Lake, Suez Canal, Alexandria","Met with King Farouk, Ethiopian Emperor Haile Selassie, Saudi Arabian King Ibn Saud, and British Prime Minister Churchill.","February 13–15, 1945","Egypt","1945"
"187","Richard M. Nixon","Cairo, Alexandria","Met with President Sadat.","June 12–14, 1974","Egypt","1974"
"188","James E. Carter","Aswan","Met with President Sadat and German Chancellor Schmidt.","January 4, 1978","Egypt","1978"
"189","James E. Carter","Cairo, Alexandria, Giza","State visit; met with President Sadat and addressed People's Assembly.","March 7–10, 1979","Egypt","1979"
"190","James E. Carter","Cairo","Met with President Sadat.","March 13, 1979","Egypt","1979"
"191","George Herbert Walker Bush","Cairo","Discussed the Persian Gulf crisis with President Mubarak.","November 22–23, 1990","Egypt","1990"
"192","William J. Clinton","Cairo","Met with President Mubarak and PLO Chairman Arafat.","October 25–26, 1994","Egypt","1994"
"193","William J. Clinton","Sharm el-Sheikh","Attended the Summit of the Peacemakers.","March 13, 1996","Egypt","1996"
"194","William J. Clinton","Cairo","Briefed President Mubarak on the Middle East Peace Process.","August 29, 2000","Egypt","2000"
"195","William J. Clinton","Sharm el-Sheikh","Attended Israeli-Palestinian Summit Meeting.","October 16–17, 2000","Egypt","2000"
"196","George W. Bush","Sharm el-Sheikh","Attended “Red Sea Summit” with the leaders of Bahrain, Egypt, Jordan, and Saudi Arabia, and with Palestinian Prime Minister Abbas.","June 2–3, 2003","Egypt","2003"
"197","George W. Bush","Sharm el-Sheikh","Met with President Mubarak.","January 16, 2008","Egypt","2008"
"198","George W. Bush","Sharm el-Sheikh","Met with President Mubarak, King Abdullah II of Jordan, Palestinian Authority President Abbas and Prime Minister Fayyad, Afghan President Karzai and Pakistani Prime Minister Gilan. Addressed the World Economic Forum.","May 17–18, 2008","Egypt","2008"
"199","Barack Obama","Cairo","Met with President Mubarak and delivered and address at Cairo University.","June 4, 2009","Egypt","2009"
"200","Herbert C. Hoover","Cutuco","Good will trip. [Visit made as President-elect.]","November 26, 1928","El Salvador","1928"
"201","Lyndon B. Johnson","San Salvador","Attended meeting of the Presidents of Central American Republics.","July 8, 1968","El Salvador","1968"
"202","William J. Clinton","San Salvador","Addressed Legislative Assembly.","March 10, 1999","El Salvador","1999"
"203","George W. Bush","San Salvador","Attended a summit meeting with Central American heads of state.","March 24, 2002","El Salvador","2002"
"204","Barack Obama","San Salvador","Met with President Funes.","March 22–23, 2011","El Salvador","2011"
"205","George W. Bush","Tallinn","Met with President Ilves.","November 27–28, 2006","Estonia","2006"
"206","Barack Obama","Tallinn","Met with President Toomas Ilves and Prime Minister Taavi Roivas.","September 3, 2014","Estonia","2014"
"207","Barack Obama","Addis Ababa","Attended a meeting on South Sudan and Counterterrorism Issues and met with Prime Minister Hailemariam Desalegn (State dinner). Addressed the African Union.","July 26–28, 2015","Ethiopia","2015"
"208","Gerald R. Ford","Helsinki","Attended opening session of the Conference on Security and Cooperation in Europe. Met with the Heads of State and Government of Finland, Great Britain, Turkey, West Germany, France, Italy, and Spain. Also met with Soviet General Secretary Brezhnev. Signed the Final Act of the Conference on August 1.","July 29–August 2, 1975","Finland","1975"
"209","Ronald Reagan","Helsinki","Met with President Koivisto and Prime Minister Holkeri; rested en route to U.S.-Soviet Summit.","May 25–29, 1988","Finland","1988"
"210","George Herbert Walker Bush","Helsinki","Summit Meeting with Soviet President Gorbachev. Issued joint statement on the Persian Gulf crisis. Also met with President Koivisto.","September 8–9, 1990","Finland","1990"
