"","Name","Locale","Remarks","Date","Country","Year"
"96","David Dean Rusk","Vienna","Accompanied President Kennedy to talks with Soviet Premier Khrushchev.","June 3–4, 1961","Austria","1961"
"97","David Dean Rusk","Vienna","Attended anniversary ceremonies for Austrian State Treaty.","May 15, 1965","Austria","1965"
"98","William Pierce Rogers","Salzburg","Accompanied President Nixon on an informal visit.","May 20–22, 1972","Austria","1972"
"99","Henry A. (Heinz Alfred) Kissinger","Salzburg","Accompanied President Nixon.","June 10–11, 1974","Austria","1974"
"100","Henry A. (Heinz Alfred) Kissinger","Vienna","Met with Soviet Foreign Minister Gromyko regarding the Middle East.","May 18–20, 1975","Austria","1975"
"101","Henry A. (Heinz Alfred) Kissinger","Salzburg","Accompanied President Ford and met with Egyptian President Sadat.","June 1–3, 1975","Austria","1975"
"102","Cyrus Roberts Vance","Vienna","Accompanied President Carter to U.S.-Soviet Summit and the signing of the SALT II Treaty.","June 14–18, 1979","Austria","1979"
"103","Edmund Sixtus Muskie","Vienna","Attended ceremonies for the 25th anniversary of the Austrian State Treaty and met with Soviet Foreign Minister Gromyko.","May 15–16, 1980","Austria","1980"
"104","George Pratt Shultz","Vienna","Attended ceremonies commemorating the 30th anniversary of the Austrian State Treaty. Met with Soviet Foreign Minister Gromyko.","May 13–15, 1985","Austria","1985"
"105","George Pratt Shultz","Vienna","Attended the opening of the Follow-up Meeting of the Conference on Security and Cooperation in Europe.","November 4–6, 1986","Austria","1986"
"106","George Pratt Shultz","Vienna","Attended the closing session of the CSCE Follow-up Meeting.","January 16–18, 1989","Austria","1989"
"107","James Addison Baker","Vienna","Attended CSCE Meetings on confidence- and security-building measures and conventional armed forces in Europe. Met with Soviet Foreign Minister Shevardnadze.","March 4–7, 1989","Austria","1989"
"108","Warren Minor Christopher","Vienna","Addressed World Conference on Human Rights.","June 14, 1993","Austria","1993"
"109","Madeleine Korbel Albright","Vienna","Official visit. Attended U.S.-European Union ministerial meeting and addressed the OSCE Permanent Council.","September 3, 1998","Austria","1998"
"110","Madeleine Korbel Albright","Vienna","Vacation.","July 1–10, 1999","Austria","1999"
"111","Madeleine Korbel Albright","Vienna","Attended OSCE Ministerial Council meeting.","November 26–27, 2000","Austria","2000"
"112","Condoleezza Rice","Vienna","Discussed the Iranian nuclear crisis with the Foreign Ministers of the Permanent Members of the UN Security Council and Germany.","May 31–June 3, 2006","Austria","2006"
"113","Condoleezza Rice","Vienna","Accompanied President Bush to the U.S.-EU Summit.","June 20–21, 2006","Austria","2006"
"114","Condoleezza Rice","Vienna","Attended the Women’s Empowerment Strategy Group and the Roundtable on Networking for Peace and Security in the Middle East.","May 31–June 1, 2007","Austria","2007"
"115","John Forbes Kerry","Vienna","Met with Iranian Foreign Minister Javad Zarif and various P5+1 Foreign Ministers.","July 13–15, 2014","Austria","2014"
"116","John Forbes Kerry","Vienna","Trilateral meeting with EU High Representative Lady Catherine Ashton and Iranian Foreign Minister Mohammad Javad Zarif.","October 15, 2014","Austria","2014"
"117","John Forbes Kerry","Vienna","Attended meetings with the P5+1 representatives, EU High Representative Ashton, and Iranian Foreign Minister Zarif.","November 20–24, 2014","Austria","2014"
"118","John Forbes Kerry","Vienna","Met with Iranian Foreign Minister Mohammad Javad Zarif and the Foreign Ministers of the P5+ 1. Negotiated Joint Comprehensive Plan of Action concerning Iran’s nuclear energy program.","June 26–July 14, 2015","Austria","2015"
"119","John Forbes Kerry","Vienna","Met with Quartet representatives and the Foreign Ministers of Russia, Turkey, and Saudi Arabia.","October 23, 2015","Austria","2015"
"120","John Forbes Kerry","Vienna","Met with Austrian Foreign Minister Sebastian Kurz, UN Special Envoy for Syria Steffan de Mistura, and the Foreign Ministers of Iran, Russia, Saudi Arabia, and Turkey. Attended a meeting on Syria.","October 29–31, 2015","Austria","2015"
"121","John Forbes Kerry","Vienna","Met with the Foreign Ministers of Saudi Arabia, Turkey, Russia, and Iran, and with UN Special Envoy for Syria Steffan de Mistura. Attended a meeting on Syria.","November 13–14, 2015","Austria","2015"
"122","John Forbes Kerry","Vienna","Discussed the Joint Comprehensive Plan of Action with Iranian Foreign Minister Javad Zarif and EU High Representative Federica Mogherini.","January 16, 2016","Austria","2016"
"123","John Forbes Kerry","Vienna","Co-hosted meetings on Libya and of the International Syria Support Group. Co-hosted a meeting of the Presidents of Armenia and Azerbaijan on the Nagorno Karabakh conflict.","May 16–18, 2016","Austria","2016"
"124","John Forbes Kerry","Vienna","Attended the opening of the Extraordinary Meeting of the Parties to the Montreal Protocol.","July 22, 2016","Austria","2016"
"125","Rex W. Tillerson","Vienna","Attended an OSCE Ministerial Council Meeting.","December 7, 2017","Austria","2017"
"126","Michael R. Pompeo","Vienna","Met with Foreign Minister Schallenberg and Chancellor Kurz. Also met with IAEA Director General Grossi.","August 14, 2020","Austria","2020"
"127","James Addison Baker","Baku","Met with President Mutalibov and discussed possible establishment of diplomatic relations.","February 12, 1992","Azerbaijan","1992"
"128","Hillary Rodham Clinton","Baku","Met with President Aliyev and Foreign Minister Mammadyarov.","July 4, 2010","Azerbaijan","2010"
"129","Hillary Rodham Clinton","Baku","Met with President Ilham Alyiev and Foreign Minister Elmar Mammadyarov. Attended the Caspian Oil and Gas Show.","June 6–7, 2012","Azerbaijan","2012"
"130","Alexander Meigs Haig","Nassau","Attended a meeting with the Canadian, Mexican, and Venezuelan Foreign Ministers on economic cooperation in the Caribbean.","July 10–11, 1981","The Bahamas","1981"
"131","George Pratt Shultz","Nassau","Vacation.","February 16–20, 1984","The Bahamas","1984"
"132","George Pratt Shultz","Nassau","Vacation.","February 15–18, 1985","The Bahamas","1985"
"133","George Pratt Shultz","Nassau","Vacation.","February 12–17, 1986","The Bahamas","1986"
"134","Colin Luther Powell","Nassau","Attended a meeting of CARCICOM Foreign Ministers.","February 6–7, 2002","The Bahamas","2002"
"135","Condoleezza Rice","Nassau","Attended CARICOM Foreign Ministers’ Meeting.","March 21–22, 2006","The Bahamas","2006"
"136","William Pierce Rogers","Manama","Met with Amir Sheikh Isa bin Salman al-Khalifa.","July 2–3, 1972","Bahrain","1972"
"137","James Addison Baker","Manama","Met with Amir Sheikh Isa bin Sulman al-Khalifa.","November 4–5, 1990","Bahrain","1990"
"138","Madeleine Korbel Albright","Manama","Met with UN weapons inspectors formerly stationed In Iraq.","November 16, 1997","Bahrain","1997"
"139","Madeleine Korbel Albright","Manama","Discussed the Iraq crisis with Foreign Minister Khalifa.","February 2–3, 1998","Bahrain","1998"
"140","Madeleine Korbel Albright","Dhahran","Stopped en route to Rome.","July 27, 1999","Bahrain","1999"
"141","Condoleezza Rice","Manama","Attended the Forum for the Future.","November 11–13, 2005","Bahrain","2005"
"142","Condoleezza Rice","Manama","Accompanied President Bush.","January 12, 2008","Bahrain","2008"
"143","Condoleezza Rice","Manama","Met with the Foreign Ministers of the Gulf Cooperation Council, Egypt, and Jordan.","April 20–22, 2008","Bahrain","2008"
"144","Hillary Rodham Clinton","Manama","Met with Foreign Minister al-Khalifa. Delivered the keynote address at the Manama Dialogue 2010.","December 3–4, 2010","Bahrain","2010"
"145","John Forbes Kerry","Manama","Attended a ministerial meeting of the Gulf Cooperation Council.","April 6–8, 2016","Bahrain","2016"
"146","Michael R. Pompeo","Manama","Met with King Hamad Al Khalifa and Crown Prince Salman bin Hamad Al Khalifa.","August 26, 2020","Bahrain","2020"
"147","Henry A. (Heinz Alfred) Kissinger","Dhaka","Met with Prime Minister Rahman and Foreign Minister Hossain.","October 30–31, 1974","Bangladesh","1974"
"148","Madeleine Korbel Albright","Dhaka","Accompanied President Clinton.","March 20, 2000","Bangladesh","2000"
"149","Colin Luther Powell","Dhaka","Met with Prime Minister Zia and senior officials.","June 19, 2003","Bangladesh","2003"
"150","Hillary Rodham Clinton","Dhaka","Met with Prime Minister Sheikh Hasina Wajed, Foreign Minister Dipu Moni, and civil society representatives. Signed Agreement to Establish Partnership.","May 5–6, 2012","Bangladesh","2012"
"151","John Forbes Kerry","Dhaka","Met with Prime Minister Sheikh Hasina, Foreign Minister Mahmood Ali, and Nationalist Party Chairperson Khaleda Zia.","August 29, 2016","Bangladesh","2016"
"152","George Pratt Shultz","Bridgetown","Met with representatives of the Organization of Eastern Caribbean States.","February 7–8, 1984","Barbados","1984"
"153","Madeleine Korbel Albright","Bridgetown","Accompanied President Clinton to a U.S.-Caribbean Community Summit Meeting.","May 9–11, 1997","Barbados","1997"
"154","Colin Luther Powell","Bridgetown","Attended OAS General Assembly and signed the Inter-American Convention Against Terrorism.","June 2–3, 2002","Barbados","2002"
"155","Hillary Rodham Clinton","Bridgetown","Attended a meeting of the CARICOM Foreign Ministers and announced the Caribbean Basin Security Initiative.","June 9–10, 2010","Barbados","2010"
"156","James Addison Baker","Minsk","Soviet Chairman Shuskevich and Foreign Minister Kravchenko.","December 18, 1991","Belarus","1991"
"157","Warren Minor Christopher","Minsk","Met with Chairman Shushkevich and senior officials.","October 26, 1993","Belarus","1993"
"158","Warren Minor Christopher","Minsk","Accompanied President Clinton to a meeting with Chairman Shushkevich.","January 15, 1994","Belarus","1994"
"159","Michael R. Pompeo","Minsk","Met with President Lukashenka and Foreign Minister Makei.","February 1, 2020","Belarus","2020"
"160","Charles Evans Hughes","Brussels, Malines","Received honorary degrees from the Universities of Brussels and Louvain.","July 31–August 2, 1924","Belgium","1924"
"161","James Francis Byrnes","Antwerp, Brussels","Disembarked en route to the Potsdam Conference. Left U.S. July 6.","July 15, 1945","Belgium","1945"
"162","Dean Gooderham Acheson","Brussels","Attended NATO Council Meeting.","December 18–20, 1950","Belgium","1950"
"163","John Foster Dulles","Brussels","Met with senior Belgian officials.","February 7–8, 1953","Belgium","1953"
"164","Christian Archibald Herter","Brussels","Personal representative of the President at the wedding of King Baudouin.","December 13–14, 1960","Belgium","1960"
"165","David Dean Rusk","Brussels","Met with Foreign Minister Spaak and officials of the European Economic Community.","May 8–10, 1964","Belgium","1964"
"166","David Dean Rusk","Brussels","Attended NATO Ministerial Meeting.","June 3–8, 1966","Belgium","1966"
"167","David Dean Rusk","Brussels","Attended NATO Ministerial Meeting.","December 10–15, 1967","Belgium","1967"
"168","David Dean Rusk","Brussels","Attended NATO Ministerial Meeting.","November 12–16, 1968","Belgium","1968"
"169","William Pierce Rogers","Brussels","Accompanied President Nixon; attended the 23d meeting of the North Atlantic Council.","February 23–24, 1969","Belgium","1969"
"170","William Pierce Rogers","Brussels","Attended NATO Ministerial Meeting. Visited the Commission of the European Communities.","December 2–5, 1969","Belgium","1969"
"171","William Pierce Rogers","Brussels","Addressed the Belgo-American Association.","December 6, 1969","Belgium","1969"
"172","William Pierce Rogers","Brussels","Attended NATO Ministerial Meeting.","December 2–5, 1970","Belgium","1970"
"173","William Pierce Rogers","Brussels","Attended NATO Ministerial Meeting.","December 7–10, 1971","Belgium","1971"
"174","William Pierce Rogers","Brussels","Met with the Belgian and Dutch Foreign Ministers and with the President of the Commission of the European Community.","May 4–5, 1972","Belgium","1972"
"175","William Pierce Rogers","Brussels","Attended NATO Ministerial Meeting.","December 5–8, 1972","Belgium","1972"
"176","Henry A. (Heinz Alfred) Kissinger","Brussels","Attended NATO Ministerial Meeting.","December 8–11, 1973","Belgium","1973"
"177","Henry A. (Heinz Alfred) Kissinger","Brussels","Briefed NATO and EEC officials on the Middle East peace process.","March 4, 1974","Belgium","1974"
"178","Henry A. (Heinz Alfred) Kissinger","Brussels","Accompanied President Nixon to a meeting of NATO Heads of Government.","June 25–26, 1974","Belgium","1974"
"179","Henry A. (Heinz Alfred) Kissinger","Brussels","Briefed NATO officials on the U.S.-Soviet summit.","July 3–4, 1974","Belgium","1974"
"180","Henry A. (Heinz Alfred) Kissinger","Brussels","Attended NATO Ministerial Meeting.","December 12–13, 1974","Belgium","1974"
"181","Henry A. (Heinz Alfred) Kissinger","Brussels","Discussed the Cyprus question with Greek Foreign Minister Bitsios.","March 7, 1975","Belgium","1975"
"182","Henry A. (Heinz Alfred) Kissinger","Brussels","Accompanied President Ford to NATO Summit Meeting.","May 28–31, 1975","Belgium","1975"
"183","Henry A. (Heinz Alfred) Kissinger","Brussels","Attended NATO Ministerial Meeting.","December 11–12, 1975","Belgium","1975"
"184","Henry A. (Heinz Alfred) Kissinger","Brussels","Briefed NATO officials on U.S.-Soviet arms talks.","January 23, 1976","Belgium","1976"
"185","Henry A. (Heinz Alfred) Kissinger","Brussels","Attended NATO Ministerial Meeting.","December 7–10, 1976","Belgium","1976"
"186","Cyrus Roberts Vance","Brussels","Attended a special session of the North Atlantic Council.","March 26, 1977","Belgium","1977"
"187","Cyrus Roberts Vance","Brussels","Attended NATO Ministerial Meeting.","December 8–9, 1977","Belgium","1977"
"188","Cyrus Roberts Vance","Brussels","Met with the Egyptian and Israeli Foreign Ministers.","December 23–24, 1978","Belgium","1978"
"189","Cyrus Roberts Vance","Brussels","Attended NATO Ministerial Meeting and a special meeting of NATO Foreign and Defense Ministers.","December 12–14, 1979","Belgium","1979"
"190","Edmund Sixtus Muskie","Brussels","Attended NATO Defense Planning Committee meeting.","May 13–15, 1980","Belgium","1980"
"191","Edmund Sixtus Muskie","Brussels","Attended NATO Ministerial Meeting.","December 10–12, 1980","Belgium","1980"
"192","Alexander Meigs Haig","Brussels","Stopped en route to U.S. from NATO meeting.","May 5, 1981","Belgium","1981"
"193","Alexander Meigs Haig","Brussels","Attended NATO Ministerial Meeting.","December 9–13, 1981","Belgium","1981"
"194","Alexander Meigs Haig","Brussels","Attended a special NATO Ministerial meeting on the situation in Poland.","January 10–12, 1982","Belgium","1982"
"195","George Pratt Shultz","Brussels","Attended NATO Ministerial Meeting and met with European Economic Community officials.","December 8–11, 1982","Belgium","1982"
"196","George Pratt Shultz","Brussels","Attended NATO Ministerial Meeting.","December 7–9, 1983","Belgium","1983"
"197","George Pratt Shultz","Brussels","Attended NATO Ministerial Meeting.","December 12–15, 1984","Belgium","1984"
"198","George Pratt Shultz","Brussels","Addressed a special meeting of NATO Foreign Ministers.","October 15, 1985","Belgium","1985"
"199","George Pratt Shultz","Brussels","Attended a special session of the North Atlantic Council.","November 21, 1985","Belgium","1985"
"200","George Pratt Shultz","Brussels","Attended NATO Ministerial Meeting and a U.S.-European Community Ministerial Meeting.","December 11–13, 1985","Belgium","1985"
"201","George Pratt Shultz","Brussels","Briefed NATO Foreign Ministers on the U.S.-Soviet pre-summit meeting.","October 13, 1986","Belgium","1986"
"202","George Pratt Shultz","Brussels","Attended NATO Ministerial Meeting.","December 10–12, 1986","Belgium","1986"
"203","George Pratt Shultz","Brussels","Briefed NATO Foreign Ministers on his visit to Moscow.","April 15–16, 1987","Belgium","1987"
"204","George Pratt Shultz","Brussels","Briefed NATO Foreign Ministers on his visit to Moscow.","October 23–24, 1987","Belgium","1987"
"205","George Pratt Shultz","Brussels","Briefed NATO Foreign Ministers on the INF negotiations.","November 25, 1987","Belgium","1987"
"206","George Pratt Shultz","Brussels","Attended a NATO Ministerial Meeting and met with EEC representatives. Signed the INF Basing Inspection Agreement.","December 11–12, 1987","Belgium","1987"
